timestamp,power_status,supply_temp,return_temp,delta_temp_raw,delta_temp_clamped,brine_in_temp,brine_out_temp,outdoor_temp,desired_supply_temp,heat_output_kw,cop,power_input_kw
2025-05-23 00:45:00,1.0,,,,,,,,,0.0,,0.0
2025-05-23 01:00:00,0.0,,,,,,0.0,,,0.0,,0.0
2025-05-23 01:45:00,1.0,,,,,,,,,0.0,,0.0
2025-05-23 02:00:00,0.0,,,,,,,,,0.0,,0.0
2025-05-23 03:00:00,1.0,,,,,,,,,0.0,,0.0
2025-05-23 03:30:00,0.0,29.5,,,,,,,,0.0,,0.0
2025-05-23 04:15:00,1.0,,,,,,,,,0.0,,0.0
2025-05-23 05:15:00,1.0,29.25,24.0,5.25,5.25,,1.0,,,12.069749999999999,4.75,2.541
2025-05-23 05:30:00,0.0,,25.0,,,,,9.0,28.0,0.0,,0.0
2025-05-23 06:30:00,1.0,50.5,44.0,6.5,6.5,2.0,,,,14.9435,4.75,3.146
2025-05-23 07:45:00,1.0,,,,,,,,,0.0,,0.0
2025-05-23 08:00:00,0.0,,25.0,,,,0.0,,,0.0,,0.0
2025-05-23 08:45:00,1.0,24.0,24.0,0.0,2.0,,2.5,10.0,27.0,4.598,4.75,0.968
2025-05-23 09:00:00,0.0,28.666666666666668,,,,,1.0,9.0,,0.0,,0.0
2025-05-23 10:00:00,0.0,27.5,,,,,2.0,,,0.0,,0.0
2025-05-23 10:30:00,0.0,,,,,,,,,0.0,,0.0
2025-05-23 11:15:00,1.0,40.0,34.666666666666664,5.333333333333336,5.333333333333336,,0.5,,,12.261333333333338,4.75,2.5813333333333346
2025-05-23 12:15:00,1.0,25.0,,,,,2.0,11.0,26.0,0.0,,0.0
2025-05-23 12:30:00,0.0,24.0,,,,3.0,,,,0.0,,0.0
2025-05-23 13:30:00,0.0,26.5,,,,,2.0,,,0.0,,0.0
2025-05-23 14:00:00,0.0,,23.0,,,,,,,0.0,,0.0
2025-05-23 14:30:00,1.0,26.333333333333332,24.0,2.333333333333332,2.333333333333332,,2.0,,,5.36433333333333,4.75,1.1293333333333326
2025-05-23 15:00:00,0.0,23.0,23.0,0.0,2.0,,4.0,,25.0,0.0,,0.0
2025-05-23 15:45:00,0.0,27.666666666666668,,,,,3.0,11.0,26.0,0.0,,0.0
2025-05-23 16:00:00,0.0,,24.0,,,4.0,2.0,,,0.0,,0.0
2025-05-23 17:00:00,0.0,25.333333333333332,,,,,3.0,,25.5,0.0,,0.0
2025-05-23 17:30:00,1.0,26.0,,,,,2.0,,,0.0,,0.0
2025-05-23 18:00:00,0.0,,,,,,4.0,12.0,25.0,0.0,,0.0
2025-05-23 18:30:00,0.0,27.25,,,,,2.3333333333333335,11.0,26.0,0.0,,0.0
2025-05-23 19:15:00,1.0,42.857142857142854,38.333333333333336,4.523809523809518,4.523809523809518,3.0,1.5,,,10.400238095238082,4.75,2.189523809523807
2025-05-23 19:30:00,0.0,,,,,,,10.0,27.0,0.0,,0.0
2025-05-23 20:30:00,1.0,,,,,,,,,0.0,,0.0
2025-05-23 21:30:00,1.0,,43.857142857142854,,,,,,,0.0,,0.0
2025-05-23 22:45:00,1.0,44.714285714285715,47.333333333333336,-2.6190476190476204,2.0,2.0,0.5,,,4.598,4.75,0.968
2025-05-24 00:00:00,0.0,,,,,,,,,0.0,,0.0
2025-05-24 01:00:00,1.0,,25.0,,,,,,,0.0,,0.0
2025-05-24 02:15:00,1.0,,,,,,,,,0.0,,0.0
2025-05-24 03:30:00,0.0,30.0,,,,,,,,0.0,,0.0
2025-05-24 04:30:00,1.0,,,,,2.0,,,,0.0,,0.0
2025-05-24 05:00:00,0.0,,,,,,,7.0,30.0,0.0,,0.0
2025-05-24 05:45:00,0.0,,,,,,,8.0,29.0,0.0,,0.0
2025-05-24 06:45:00,1.0,,,,,,,,,0.0,,0.0
2025-05-24 07:00:00,0.0,,,,,,,,,0.0,,0.0
2025-05-24 08:00:00,1.0,53.5,48.0,5.5,5.5,,,10.0,27.0,12.644499999999999,4.75,2.662
2025-05-24 09:15:00,0.0,28.666666666666668,,,,4.0,1.5,,,0.0,,0.0
2025-05-24 09:30:00,0.0,,25.0,,,3.0,,,,0.0,,0.0
2025-05-24 10:15:00,1.0,54.0,46.57142857142857,7.428571428571431,7.428571428571431,3.0,1.0,,,17.07828571428572,4.75,3.5954285714285725
2025-05-24 10:30:00,0.0,57.0,52.5,4.5,4.5,,0.0,12.0,25.0,0.0,,0.0
2025-05-24 11:30:00,0.0,,,,,,,,,0.0,,0.0
2025-05-24 12:00:00,0.0,23.0,23.0,0.0,2.0,,,,,0.0,,0.0
2025-05-24 12:45:00,0.0,,,,,,,,,0.0,,0.0
2025-05-24 13:00:00,0.0,,,,,,5.0,,,0.0,,0.0
2025-05-24 13:45:00,0.0,,,,,,,15.0,,0.0,,0.0
2025-05-24 14:00:00,0.0,,,,,,,,,0.0,,0.0
2025-05-24 15:00:00,0.0,,,,,,,,,0.0,,0.0
2025-05-24 15:30:00,0.0,57.5,54.0,3.5,3.5,,1.0,,,0.0,,0.0
2025-05-24 16:15:00,1.0,,,,,,5.0,,,0.0,,0.0
2025-05-24 16:30:00,0.0,,,,,,,16.0,,0.0,,0.0
2025-05-24 17:15:00,0.0,,,,,,,,,0.0,,0.0
2025-05-24 17:30:00,0.0,,,,,,,,,0.0,,0.0
2025-05-24 18:30:00,0.0,,,,,,,14.0,,0.0,,0.0
2025-05-24 19:00:00,0.0,61.142857142857146,56.75,4.392857142857146,4.392857142857146,3.0,,,,0.0,,0.0
2025-05-24 19:45:00,0.0,70.33333333333333,65.0,5.333333333333329,5.333333333333329,3.0,3.0,13.0,24.0,0.0,,0.0
