timestamps,soc,price,action_normalized,battery_power_kw,grid_power_kw,reward,total_cost_cumulative,household_consumption_kw,grid_cost_term,peak_penalty_term,battery_cost_term,arbitrage_bonus_term,soc_action_penalty_term,current_solar_production_kw
2024-04-10 20:15:00+02:00,0.89427865,-2.322,-0.11140497773885727,0.5570248886942863,4.940024888694286,13.816704916284099,3388.9132218930163,4.383,2.8676844478870334,0.0,-2.9766017489600927,13.925622217357159,0.0,0.0
2024-04-10 20:30:00+02:00,0.9,-2.3970000000000002,-0.14821644127368927,0.5299761008027447,4.912976100802744,13.361443659809995,3385.9691209646103,4.383,2.9441009284060446,0.0,-2.832059788664667,13.249402520068617,0.0,0.0
2024-04-10 20:45:00+02:00,0.9,-2.472,-0.15519724786281586,-0.0,4.383,-12.811030786281586,3383.2604269646104,4.383,2.708694,0.0,-0.0,0.0,-15.519724786281586,0.0
2024-04-10 21:00:00+02:00,0.9,-2.5469999999999997,-0.15826140344142914,-0.0,4.383,-13.035265094142915,3380.46955171461,4.383,2.7908752499999996,0.0,-0.0,0.0,-15.826140344142914,0.0
2024-04-10 21:15:00+02:00,0.9,-2.622,-0.21883000433444977,-0.0,4.296,-19.066972433444977,3377.65352371461,4.296,2.816028,0.0,-0.0,0.0,-21.883000433444977,0.0
2024-04-10 21:30:00+02:00,0.9,-2.67975,-0.20275795459747314,-0.0,4.296,-17.397743959747313,3374.77547221461,4.296,2.8780515,0.0,-0.0,0.0,-20.275795459747314,0.0
2024-04-10 21:45:00+02:00,0.9,-2.7375,-0.17410500347614288,-0.0,4.296,-14.470425347614288,3371.83539721461,4.296,2.9400749999999998,0.0,-0.0,0.0,-17.41050034761429,0.0
2024-04-10 22:00:00+02:00,0.9,-2.7952500000000002,-0.15592093765735626,-0.0,4.296,-12.589995265735626,3368.83329871461,4.296,3.0020985000000002,0.0,-0.0,0.0,-15.592093765735626,0.0
2024-04-10 22:15:00+02:00,0.9,-2.853,-0.1953904926776886,-0.0,6.059,-22.59246751776888,3364.51171696461,6.059,4.32158175,-7.37500000000002,-0.0,0.0,-19.53904926776886,0.0
2024-04-10 22:30:00+02:00,0.9,-3.0322500000000003,-0.18645614385604858,-0.0,6.059,-21.427513698104878,3359.9186162771102,6.059,4.593100687500001,-7.37500000000002,-0.0,0.0,-18.64561438560486,0.0
2024-04-10 22:45:00+02:00,0.9,-3.2115,-0.16199564933776855,-0.0,6.059,-18.709945308776874,3355.05399665211,6.059,4.8646196250000004,-7.37500000000002,-0.0,0.0,-16.199564933776855,0.0
2024-04-10 23:00:00+02:00,0.9,-3.3907499999999997,-0.13276952505111694,-0.0,6.059,-15.515813942611715,3349.91785808961,6.059,5.136138562499999,-7.37500000000002,-0.0,0.0,-13.276952505111694,0.0
2024-04-10 23:15:00+02:00,0.9,-3.57,-0.07459507137537003,-0.0,5.615,-2.448119637537003,3344.90647058961,5.615,5.0113875,0.0,-0.0,0.0,-7.459507137537003,0.0
2024-04-10 23:30:00+02:00,0.9,-3.5645,-0.07563620805740356,-0.0,5.615,-2.559953930740357,3339.90280371461,5.615,5.0036668749999995,0.0,-0.0,0.0,-7.5636208057403564,0.0
2024-04-10 23:45:00+02:00,0.9,-3.559,-0.048131100833415985,-0.0,5.615,0.18283616665840174,3334.90685746461,5.615,4.99594625,0.0,-0.0,0.0,-4.8131100833415985,0.0
2024-04-11 00:00:00+02:00,0.9,-3.5535,-0.0423688068985939,-0.0,5.615,0.7513449351406098,3329.91863183961,5.615,4.988225625,0.0,-0.0,0.0,-4.23688068985939,0.0
2024-04-11 00:15:00+02:00,0.9,-3.548,-0.06749220192432404,-0.0,4.879,-2.4215471924324037,3325.5909588396103,4.879,4.327673,0.0,-0.0,0.0,-6.749220192432404,0.0
2024-04-11 00:30:00+02:00,0.9,-3.548,-0.06228271871805191,-0.0,4.879,-1.9005988718051912,3321.2632858396105,4.879,4.327673,0.0,-0.0,0.0,-6.228271871805191,0.0
2024-04-11 00:45:00+02:00,0.9,-3.548,-0.01863926649093628,-0.0,4.879,2.463746350906372,3316.9356128396107,4.879,4.327673,0.0,-0.0,0.0,-1.863926649093628,0.0
